,validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model_params/n_hidden,config/model_params/n_layers,config/model_params/n_latent,config/model_params/gene_likelihood,config/train_params/max_epochs,config/train_params/plan_kwargs/lr,logdir
32,8795.9326171875,1728424363,,True,1,11e3363e,2024-10-08_21-52-43,7.834004878997803,7.834004878997803,12024,ip-12-0-0-75,12.0.0.75,7.834004878997803,1,256,3,40,nb,100,0.00010184128901554991,11e3363e
33,8352.5859375,1728424369,,True,1,ec65a19d,2024-10-08_21-52-49,6.549182891845703,6.549182891845703,12024,ip-12-0-0-75,12.0.0.75,6.549182891845703,1,256,1,40,nb,100,0.000369490121371244,ec65a19d
34,7993.10205078125,1728424385,,True,2,8722e2c2,2024-10-08_21-53-05,7.369102478027344,15.328245401382446,12024,ip-12-0-0-75,12.0.0.75,15.328245401382446,2,64,4,40,nb,100,0.00465645304790895,8722e2c2
35,8628.7099609375,1728424392,,True,1,430714f6,2024-10-08_21-53-12,7.268619537353516,7.268619537353516,12024,ip-12-0-0-75,12.0.0.75,7.268619537353516,1,256,2,30,nb,100,0.00017415314554689333,430714f6
36,8447.7373046875,1728424400,,True,1,47250f75,2024-10-08_21-53-20,7.466512680053711,7.466512680053711,12024,ip-12-0-0-75,12.0.0.75,7.466512680053711,1,64,3,50,nb,100,0.0012185771889179097,47250f75
37,7865.03857421875,1728424413,,True,2,425fae05,2024-10-08_21-53-33,6.393821716308594,13.44581913948059,12024,ip-12-0-0-75,12.0.0.75,13.44581913948059,2,256,2,40,nb,100,0.0029292345135758864,425fae05
38,7767.90283203125,1728424437,,True,4,c588f69b,2024-10-08_21-53-57,5.73231840133667,24.06944489479065,12024,ip-12-0-0-75,12.0.0.75,24.06944489479065,4,256,1,40,nb,100,0.0032227922608120455,c588f69b
39,7875.75341796875,1728424451,,True,2,1ec8e3ea,2024-10-08_21-54-11,6.793414115905762,13.894449472427368,12024,ip-12-0-0-75,12.0.0.75,13.894449472427368,2,128,2,20,zinb,100,0.001827395076767623,1ec8e3ea
40,8179.8623046875,1728424459,,True,1,a716ae48,2024-10-08_21-54-19,7.9441399574279785,7.9441399574279785,12024,ip-12-0-0-75,12.0.0.75,7.9441399574279785,1,64,4,10,nb,100,0.00993219061612318,a716ae48
41,8616.6943359375,1728424466,,True,1,7f60def7,2024-10-08_21-54-26,7.241180419921875,7.241180419921875,12024,ip-12-0-0-75,12.0.0.75,7.241180419921875,1,256,2,50,nb,100,0.000262635892630872,7f60def7
42,7790.2265625,1728424494,,True,4,b0164b65,2024-10-08_21-54-54,6.766077041625977,27.321577787399292,12024,ip-12-0-0-75,12.0.0.75,27.321577787399292,4,128,2,40,zinb,100,0.005187888896968545,b0164b65
43,8360.83203125,1728424500,,True,1,4c63ba17,2024-10-08_21-55-00,6.391710519790649,6.391710519790649,12024,ip-12-0-0-75,12.0.0.75,6.391710519790649,1,256,1,10,nb,100,0.0010533372455589283,4c63ba17
44,8199.6796875,1728424507,,True,1,cd368e7e,2024-10-08_21-55-07,7.200499534606934,7.200499534606934,12024,ip-12-0-0-75,12.0.0.75,7.200499534606934,1,64,2,30,zinb,100,0.0014492835230694831,cd368e7e
45,8416.80859375,1728424515,,True,1,fc1c1a7b,2024-10-08_21-55-15,7.613900661468506,7.613900661468506,12024,ip-12-0-0-75,12.0.0.75,7.613900661468506,1,128,3,50,nb,100,0.0005649037993926935,fc1c1a7b
46,7894.62060546875,1728424529,,True,2,117a24b7,2024-10-08_21-55-29,6.396192789077759,13.747221231460571,12024,ip-12-0-0-75,12.0.0.75,13.747221231460571,2,256,2,20,nb,100,0.0023386155913130693,117a24b7
47,8501.783203125,1728424537,,True,1,a53ac82d,2024-10-08_21-55-37,8.157188892364502,8.157188892364502,12024,ip-12-0-0-75,12.0.0.75,8.157188892364502,1,64,4,40,zinb,100,0.0006872252721275008,a53ac82d
48,8256.154296875,1728424544,,True,1,8cf1a455,2024-10-08_21-55-44,7.339138507843018,7.339138507843018,12024,ip-12-0-0-75,12.0.0.75,7.339138507843018,1,256,2,10,nb,100,0.0010088530635468825,8cf1a455
49,8689.4716796875,1728424551,,True,1,b50796e6,2024-10-08_21-55-51,6.783097267150879,6.783097267150879,12024,ip-12-0-0-75,12.0.0.75,6.783097267150879,1,128,1,30,zinb,100,0.00018629382225347725,b50796e6
50,7915.01513671875,1728424565,,True,2,de61cdf3,2024-10-08_21-56-05,6.339120626449585,13.405802726745605,12024,ip-12-0-0-75,12.0.0.75,13.405802726745605,2,256,2,50,nb,100,0.006233842014144237,de61cdf3
51,8456.8056640625,1728424572,,True,1,5cc2ccf0,2024-10-08_21-56-12,7.281968116760254,7.281968116760254,12024,ip-12-0-0-75,12.0.0.75,7.281968116760254,1,256,2,40,nb,100,0.0003523359806876344,5cc2ccf0
