,gene,tx,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval
24,Smap1,treat,0.024447112688634025,0.04231809442424875,0.5587441255874412,0.15167224942227783,0.21968053446796557,0.48135186481351866
25,Sdhaf4,treat,0.2687108832134929,0.08999262895798912,0.0031996800319968005,0.2466926522920052,0.5119465722556998,0.593040695930407
26,Lmbrd1,treat,0.13233052289353855,0.037924444155901384,0.0009010862568591902,0.012779299705453327,0.23767819534164583,0.9564043595640436
27,Phf3,treat,0.16950382716266815,0.047790173984143036,0.0009997326617632138,0.5917728201773624,0.1698073527544716,0.0012589520217043625
28,Prim2,treat,0.15599669671867164,0.10629079796732924,0.14308569143085692,-0.5025125107782582,0.29036442301479853,0.0791920807919208
29,Zfp451,treat,0.0023209521105866933,0.06778884318589688,0.9769023097690231,0.16951583807814197,0.26549742548211086,0.5153484651534846
30,Dst,treat,0.25881919663258096,0.11333726927742281,0.023797620237976203,0.15236062294317998,0.2899376405666088,0.6298370162983702
31,Ccdc115,treat,-0.026494342030973332,0.06768998695668943,0.6973302669733027,-1.2151530809422857,1.0636214000833668,0.1740825917408259
32,Imp4,treat,0.16374924475325,0.07684161278293104,0.031096890310968902,-0.25916898290759066,1.2582873029122401,0.7874212578742126
33,Ptpn18,treat,0.12464037926048963,0.029983798154181833,0.0009879783322848566,-0.20194022876482243,0.10389991248640379,0.0547945205479452
34,Fam168b,treat,0.1258747575689015,0.05219885787404059,0.013398660133986601,-0.030448278184319107,0.26163216886431034,0.903009699030097
35,Plekhb2,treat,0.04192926777192451,0.0524902715784751,0.42585741425857415,-0.5197652959726539,0.38663147183388563,0.14458554144585542
36,Hs6st1,treat,0.189430912607706,0.06653335294766692,0.004899510048995101,-0.10946454385604457,0.18778943381224522,0.559044095590441
37,Uggt1,treat,0.14362799247638122,0.054257396960866885,0.009299070092990702,0.11480394342831106,0.29183220307025654,0.6958304169583042
38,Neurl3,treat,0.2779862619682843,0.04385879787127789,0.0005188704856439829,-0.11187555468450505,0.10531821060429754,0.2863713628637136
39,Arid5a,treat,0.40445382593782625,0.06267560113375398,1.773698685675142e-05,-0.29212186121399975,0.2937017610471677,0.30696930306969306
40,Kansl3,treat,0.007378008556997217,0.06449666390096924,0.9131086891310869,0.6749820889587315,0.2884116990012116,0.025997400259974
41,Lman2l,treat,0.38902026667293377,0.0947711919936862,0.00036318920233876346,0.41697976007006327,0.9335378997352158,0.5644435556444356
42,Cnnm4,treat,0.19548185905829069,0.09638949679304754,0.04279572042795721,-0.13054327852196876,0.4198536186361874,0.7494250574942506
43,Cox5b,treat,0.1122053459577632,0.029347817110771713,0.001390909482182486,0.023824529781411804,0.13356874545312436,0.8559144085591441
44,Actr1b,treat,0.12776625763373148,0.07985538054711315,0.10988901109889011,-0.32819080486793895,0.2662393966355649,0.206979302069793
45,Tmem131,treat,0.11721130345557317,0.05704184300784165,0.0425957404259574,0.09091222430262413,0.13839686553337807,0.5176482351764824
46,Gm38115,treat,0.20510690245592128,0.12735297347848887,0.10718928107189281,-0.35054980687192117,0.4615956086484669,0.39476052394760525
47,Inpp4a,treat,0.23105147506876797,0.07213330457157406,0.0012998700129987,0.1320412699990243,0.2644064339176085,0.6155384461553844
48,Coa5,treat,0.1771231832882742,0.05914645175250057,0.0021997800219978004,0.5003496810540361,0.4436755673841691,0.2343765623437656
49,Unc50,treat,0.16107378457580143,0.07100809442067743,0.023497650234976502,0.39908076258810243,0.955243926316485,0.5924407559244076
50,Mgat4a,treat,0.21373237753699592,0.03688362845229216,9.91470695622694e-05,-0.1707552132596832,0.12289889482890921,0.16428357164283572
51,Tsga10,treat,0.02076066219010641,0.12143146066998554,0.8594140585941406,0.6182027887855316,0.44394474643989135,0.1581841815818418
52,Mrpl30,treat,0.24090771171160918,0.0419955979649116,0.00015879543471869676,-0.07379152604488547,0.2145777417668372,0.7204279572042795
53,Txndc9,treat,0.19557762457039635,0.05497016485370317,0.0011823730999037832,1.237905528955552,0.8216541421355148,0.0918908109189081
54,Eif5b,treat,0.1210097706652782,0.040080532390511,0.0022997700229977,0.28328301757567104,0.1449977230868169,0.05269473052694731
55,Rev1,treat,0.10142022204256639,0.07844248286464447,0.19738026197380262,0.057674985145030014,0.2585360284793479,0.8203179682031797
56,Aff3,treat,-0.06953540258253897,0.22373644522521113,0.7593240675932407,-0.07449076020575472,0.25188987039143335,0.772022797720228
57,Pdcl3,treat,0.27012535150016664,0.055182094661580715,9.754963169332719e-05,1.0527203290135219,0.5779710788151595,0.051894810518948106
58,Rpl31,treat,-0.061205867138210746,0.024590405133917914,0.012598740125987402,0.33793472016963566,0.07937972108455128,0.00026906214889454473
59,Tbc1d8,treat,0.05329961635669804,0.07921742233995693,0.5042495750424958,-0.06372950315013613,0.1839569425900476,0.7313268673132687
60,Cnot11,treat,0.17365616517495527,0.10896272095057821,0.10948905109489052,-0.7815917507521187,0.8746645592646862,0.2762723727627237
61,Gm15832,treat,0.2063305664417678,0.08780309342418437,0.0188981101889811,0.1398807798627178,0.4007596956556147,0.720927907209279
62,Rnf149,treat,0.2481416911027052,0.03835026487616001,0.00010268004788980081,-0.19999620337326113,0.11702535715886171,0.08749125087491251
63,Map4k4,treat,-0.023008786952579012,0.037138064713346096,0.5341465853414659,0.03709415677918137,0.12818244847776566,0.7776222377762224
64,Il1r2,treat,0.015707838345129455,0.07378382732788778,0.833916608339166,-0.08294410996635701,0.08765684505108312,0.34236576342365765
65,Il1rl2,treat,0.05116498160748416,0.09756783391506603,0.5905409459054095,0.1803592963832457,0.40049043539552326,0.641035896410359
66,Il18rap,treat,-0.08495016066722937,0.15236802661028725,0.5733426657334266,0.5685272431859144,0.45188145196991775,0.18068193180681932
67,Mrps9,treat,0.12762118792044405,0.07069672778759709,0.0704929507049295,-0.17433322739228538,0.4667494178802029,0.6823317668233176
68,Tgfbrap1,treat,0.45110610359198866,0.09151848470902711,9.76015078180302e-05,0.4922505734108968,0.9444088518777809,0.5187481251874813
