,gene,tx,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval
26,Smap1,treat,-0.17739092684169055,0.04795414561917926,0.0008649922825783501,-0.2636521565167021,0.21586512393581905,0.22107789221077892
27,Sdhaf4,treat,-0.37396166953187016,0.09023525648665572,0.0003747326545312394,3.6438377996386953,1.1418294809624365,0.009799020097990201
28,Lmbrd1,treat,-0.3375843864337984,0.041798758021834484,1.6672763587742036e-05,-0.48844102455633664,0.23755976144778082,0.038696130386961305
29,Phf3,treat,-0.3723123966409947,0.04884781768769973,1.0930563214929356e-05,0.714352481404167,0.21476411746767124,0.001999800019998
30,Prim2,treat,-0.47213750587141695,0.10968545475957249,0.00037841385309138364,-0.4503784688732519,0.26490151694366626,0.09209079092090791
31,Zfp451,treat,-0.627865507947226,0.07366090829507554,1.889365205073613e-06,-0.19127580018415005,0.2584789253330919,0.45725427457254275
32,Dst,treat,-0.9625801324803543,0.10618358467217621,5.0613523022281265e-05,0.5728052727005772,0.29473682181631355,0.043995600439956005
33,Ccdc115,treat,-0.336052518652909,0.0720340312150572,0.001169443803278695,-0.6892017713364376,1.1182754277396085,0.43615638436156384
34,Imp4,treat,-0.2784911292686958,0.0806279398063381,0.001260180980859719,-0.8260583742054881,1.1341193113406933,0.3685631436856314
35,Ptpn18,treat,0.07561515325860435,0.035571937029815606,0.032396760323967606,-0.3720342462864651,0.1198591737617031,0.0023997600239976003
36,Fam168b,treat,-0.45543835328551624,0.053632485317837486,4.800844838292543e-05,0.380163075145522,0.40877406817917566,0.3163683631636836
37,Plekhb2,treat,-0.42225052393750456,0.05532865713169943,4.440074471395013e-05,-0.17363229995247043,0.39409670911515626,0.6332366763323668
38,Hs6st1,treat,-0.31154525370003305,0.06767254033691988,0.00017965994900244372,0.43619242162057303,0.22314123694205182,0.0494950504949505
39,Uggt1,treat,-0.2649697488834681,0.054505335856161706,0.000235524547929618,0.5734924880379341,0.2979731090716666,0.055394460553944605
40,Neurl3,treat,-0.25094718675873096,0.049588512345519656,0.0001518580537823766,-0.3606418134882422,0.14393661111786635,0.0108989101089891
41,Arid5a,treat,-0.20892153495080112,0.06504146281693957,0.0011998800119988001,-0.4297629962735742,0.2862910543338426,0.1317868213178682
42,Kansl3,treat,-0.24253527570436703,0.07299152710673025,0.0010843471689399406,0.21655530525344127,0.38772946368691336,0.5652434756524347
43,Lman2l,treat,-0.25627616368581196,0.09889921869474234,0.0103989601039896,-0.44609836886893545,0.7325138993600065,0.45515448455154484
44,Cnnm4,treat,-0.13532465346551034,0.10315106425781892,0.19108089191080893,0.13477350165288982,0.6322597484897782,0.8106189381061893
45,Cnnm3,treat,-0.6258321539608723,0.1250806694745209,0.00026028842940537596,-0.2424771820021251,0.7390449697777465,0.6701329867013298
46,Cox5b,treat,0.1260230978119073,0.033902362085230175,0.0006093941383553132,0.0863170582062913,0.18277265144354424,0.6335366463353664
47,Actr1b,treat,-0.37397645657025036,0.0845268458205411,0.00020092758262948098,-0.44661145126314045,0.400128778423173,0.2673732626737326
48,Tmem131,treat,-0.02484767547211619,0.0620342416830468,0.6907309269073093,0.12952102499451312,0.14491651778222683,0.36966303369663034
49,Gm38115,treat,-0.12418281144801967,0.1450990569962877,0.38676132386761325,-1.0015473433197735,0.4868375885557482,0.03899610038996101
