,gene,tx,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval
22,Phf3,treat,0.1960118055512241,0.03916131989543676,0.00010546741644875836,-0.31239916640876636,0.20522850655835984,0.12688731126887312
23,Prim2,treat,0.03103766180942413,0.09143916137652155,0.7334266573342666,-0.2675570730168757,0.30557399561293663,0.414958504149585
24,Zfp451,treat,0.6534917883236476,0.07539680587617274,0.00035690458564846626,-0.3754620701916934,0.35833883444300585,0.2886711328867113
25,Dst,treat,-0.6193461613887133,0.15362554904769635,0.0007125853570583971,-0.710198715395665,0.192931001141584,0.0009904821697198835
26,Ptpn18,treat,0.1815521006105182,0.02058022540789091,2.7525444770977757e-05,0.4885872360184102,0.12879226449111436,0.0009946164425279089
27,Fam168b,treat,0.23642635536555656,0.044828658151068144,0.0006530553676879198,-0.015132312175172748,0.3396812056345608,0.9613038696130387
28,Plekhb2,treat,0.6783045945968382,0.06972569678116923,1.8306012417743805e-05,-0.17134078082713475,0.2916296610337388,0.5403459654034597
29,Uggt1,treat,0.2806027180994943,0.04836271308823527,0.000143588548370121,0.5634209515287234,0.27641342800479013,0.04889511048895111
30,Neurl3,treat,-0.037810528857429526,0.033694856098602136,0.2636736326367363,0.645077990541087,0.08977761517608261,0.0005422743988607055
31,Arid5a,treat,0.20751021475531123,0.03962673497486548,0.00010508047546766026,0.41286953809221766,0.19268404962339716,0.032996700329967
32,Kansl3,treat,0.31348677135515723,0.06389023431227844,1.6522479381273476e-05,-0.0596995092138668,0.2859816037013337,0.8282171782821718
33,Cnnm3,treat,0.11409985843010072,0.09741471694492498,0.24647535246475352,-0.4676347768604473,0.6654340830101909,0.43095690430956907
34,Cox5b,treat,0.8196902465554421,0.037869749855290596,2.948972644974955e-07,-0.5534034766772721,0.11104323707133205,0.00011122836368303834
35,Actr1b,treat,0.4042965903880464,0.06859191423838942,7.179724967568507e-05,0.08161240702414897,0.2619005836231815,0.7483251674832517
36,Zap70,treat,-0.023357144809244557,0.04126010884635008,0.5677432256774323,0.10331329971972991,0.22583918077167797,0.6388361163883611
37,Tmem131,treat,0.05256763477926319,0.05503625971021545,0.3418658134186581,0.07388708641947649,0.2922836705843651,0.8017198280171983
38,Inpp4a,treat,-0.14689189565327568,0.06432968781394414,0.022097790220977902,0.46692621494442005,0.2838939957572191,0.10318968103189681
39,Coa5,treat,0.7313090258960583,0.07673523753645993,0.0003021532402314662,0.018766150696342465,0.6486518609189819,0.9773022697730227
40,Unc50,treat,1.4631760409868266,0.08689247384510622,7.695262934087079e-06,-0.937551791630938,0.8067303311041514,0.16928307169283072
41,Mgat4a,treat,-0.24093918846200113,0.06329353775471872,0.00045122461862669296,0.49967733978806156,0.3125994308744722,0.11098890110988902
42,Mitd1,treat,0.9809327233954005,0.07741452706788934,8.677838581970332e-06,0.594662264852927,0.25832334167484056,0.030796920307969204
43,Mrpl30,treat,1.1751612481321736,0.05783811264963301,5.851319620752249e-07,-0.4874304533989085,0.2954279953137774,0.09659034096590341
44,Txndc9,treat,1.2460430083844367,0.08297418103481786,1.1435568975275589e-05,-1.9220447570286125,0.7744881771880701,0.027497250274972504
45,Eif5b,treat,1.0041333157113508,0.049819818828498744,1.7839020602917108e-06,-0.30341426390912773,0.19396305148290588,0.12108789121087891
46,Aff3,treat,-0.790676935155445,0.06605965359000657,9.812218688150834e-06,0.5978939309812477,0.09740839332674146,1.2113885413251957e-05
47,Rpl31,treat,0.1230888715725713,0.02506670582521195,0.00027180103532761384,0.23490902613622855,0.06788602877618609,0.002596290150385978
48,Cnot11,treat,0.6274841101142385,0.09244075164965074,7.135666928214823e-05,0.04799413354872761,0.8385646390895293,0.9481051894810519
49,Rnf149,treat,0.3615335544781937,0.07353832898474488,0.00027377272901017333,-0.6092009299453195,0.2612543364332127,0.022097790220977902
50,Map4k4,treat,0.23868114436847085,0.05063535029141373,0.0003090988596104313,-0.3614760468331847,0.2576259945099164,0.16418358164183583
51,Il1r2,treat,-0.20664944629938578,0.1700566198146265,0.22367763223677634,0.6473797259468568,0.18822301610346892,0.0010781505885845118
52,Il1rl1,treat,-0.5347560400762904,0.12416160745695555,0.0003293518139997528,0.7365115178325624,0.1250466922455732,6.002780557458973e-05
53,Il18r1,treat,-0.09248751353896678,0.042212942053851454,0.029597040295970403,0.591578770178266,0.08296668955094087,0.0005676893535363199
54,Il18rap,treat,0.20255018402453373,0.0664212915262616,0.0023997600239976003,-0.31813542742325707,0.1725379398394039,0.06379362063793621
55,Mrps9,treat,0.33772542445887394,0.06621774968503641,0.0002473028292464557,-0.40978348191979297,0.38830559485993954,0.25937406259374063
56,Nck2,treat,0.885515355803088,0.08831964636815857,1.6204158702542884e-05,-0.9232628419231621,0.20264835903979467,0.0005881780255602359
57,Uxs1,treat,0.4944084929337951,0.09333231775388003,0.0002338404894966207,-0.08934177173517117,0.49416453168245694,0.8475152484751525
58,Tpp2,treat,0.07034526344445345,0.035540229309733176,0.04839516048395161,-0.013660067042627651,0.1399117975266745,0.9223077692230777
59,Tex30,treat,0.6454534850366704,0.0844894354071884,3.381579101767102e-05,0.9881428241695834,0.5292543123250066,0.057894210578942104
60,Ercc5,treat,-0.04915446911483423,0.09492821779429406,0.6079392060793921,-0.5157888702096796,0.4777021918899795,0.274972502749725
61,Nabp1,treat,0.19474277174114107,0.04529181910593197,0.0012688995369255992,0.35005616732067407,0.15963278843591966,0.0301969803019698
62,Stat4,treat,-0.09301656934119928,0.02869386229651855,0.0011998800119988001,0.012864979691233458,0.07932045280937738,0.8732126787321268
63,Stat1,treat,0.4537784984348304,0.0500722673118731,2.2492055980505134e-05,0.08689393421841206,0.16374615938207482,0.5905409459054095
64,Gls,treat,0.16440578483234028,0.036534749732748506,0.00028170038011515947,-0.10105738988468682,0.1658753760695655,0.5601439856014399
65,Nab1,treat,0.374513629133356,0.04312195809155479,0.0002404590342365893,-0.3500540443086695,0.1700816246155471,0.0405959404059594
66,Nemp2,treat,0.14429157991117925,0.07906863217163597,0.06679332066793321,0.2193823526655995,0.4115135451209954,0.5647435256474352
67,Mfsd6,treat,-0.005488840140140505,0.049015389199930065,0.9107089291070893,0.6168322045214063,0.1709583007852013,0.001353226435126727
68,Inpp1,treat,0.2430482385828452,0.055496195263941256,0.0004755264863769209,1.1611352482379937,0.31973324360489985,0.004399560043995601
69,Pms1,treat,0.03569633503381908,0.09795890617134287,0.7173282671732827,0.18868918060572118,0.3395041305329953,0.5561443855614439
70,Asnsd1,treat,0.8139434124750773,0.07003751059361522,8.40043935497966e-07,0.08380058309522603,0.3122476445299374,0.7793220677932207
71,Stk17b,treat,0.10392352442554031,0.02151176856680046,0.0002558261687993152,0.33940886323005626,0.09330303144299852,0.0012033164707593307
72,Ankrd44,treat,-0.2095341829007589,0.02401621719271931,5.3377405798924066e-05,0.7406441268739409,0.09075929938900867,7.119359073273712e-05
73,4930444A19Rik,treat,0.29127819177644376,0.07418072603622419,0.0007919041383248432,1.3437311689802764,0.5621580095768414,0.0184981501849815
74,Sf3b1,treat,0.23843184416703328,0.028193316257097666,2.956154881759576e-05,-0.028725962945347905,0.20297016626140882,0.8848115188481152
75,Coq10b,treat,0.22048711676331043,0.04076860105397762,3.972168950185845e-05,0.4404122004631665,0.20747613722689695,0.0375962403759624
76,Hspd1,treat,0.7042452949280049,0.06660591294548888,1.300880098334397e-05,0.7014803875355505,0.1902795115971207,0.0007404700873133508
